num_licitacao,cod_ug,dat_resultado,modal_compra,objeto,cnpj,ind_matriz,razao_social,situacao_cadastral,dat_sit_cadastral,ano_sit_cadastral,motiv_sit_cadastral,tipo_nat_juridica,dat_ini_ativ,ano_ini_ativ,setor_cnae,qualif_resp,porte_empr,opt_simples
000012018,925206,2020-01-21,Pregão,"Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviço de limpeza, conservação, desinsetização, desratização, limpeza das caixas d água e copeiragem com o fornecimento de mão-de-obra, saneantes domissanitários, incluindo",55905350000199,1,"PAINEIRAS LIMPEZA E SERVICOS GERAIS LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1986-06-13,1986,"Limpeza em prédios e em domicílios","Administrador ",Demais,"Nao Optante"
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",21860768000105,1,"W SANTOS CHAVES",Ativa,2015-02-11,2015,NULL,"Entidades Empresariais",2015-02-11,2015,"Comércio atacadista de artigos de escritório e de papelaria","Empresário ","Pequeno Porte",Excluido
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",30771627000107,1,"E DA SILVA PINTO COMERCIO",Ativa,2018-06-23,2018,NULL,"Entidades Empresariais",2018-06-23,2018,"Comércio varejista de bebidas","Empresário ","Micro Empresa",Optante
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",28388146000175,1,"ANDREA DA COSTA FERREIRA EIRELI",Ativa,2017-08-10,2017,NULL,"Entidades Empresariais",2017-08-10,2017,"Comércio atacadista de produtos alimentícios em geral","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Optante
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",04449757000118,1,"DISGAL DIST DE GENEROS ALIMENTICIOS DA AMAZONIA LTDA",Ativa,2006-12-02,2006,NULL,"Entidades Empresariais",1976-08-25,1976,"Comércio atacadista de carnes bovinas e suínas e derivados","Sócio-Administrador ","Pequeno Porte",Excluido
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",02377254000159,1,"UNIVERSAL-COMERCIAL DE FRUTAS E VERDURAS LTDA",Ativa,2005-09-03,2005,NULL,"Entidades Empresariais",1998-02-16,1998,"Comércio atacadista de frutas","Sócio-Administrador ","Pequeno Porte",Optante
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",06275784000147,1,"AMAZON ADVENTURE TRANSPORTE, ESTALEIRO E COMERCIO DE ACOS LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",2004-05-13,2004,"Comércio varejista de pedras para revestimento","Sócio-Administrador ","Micro Empresa","Nao Optante"
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",14646104000182,1,"ALIANCA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA",Ativa,2011-11-21,2011,NULL,"Entidades Empresariais",2011-11-21,2011,"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente","Sócio-Administrador ","Pequeno Porte",Excluido
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",07764000000107,1,"AUTARQUIA COMERCIO E SAUDE ANIMAL LTDA",Ativa,2005-12-21,2005,NULL,"Entidades Empresariais",2005-12-21,2005,"Comércio atacadista de alimentos para animais","Sócio-Administrador ","Pequeno Porte","Nao Optante"
000012018,160012,2020-01-22,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de alimentos para animais do zoológico do CIGS",09483617000180,1,"LICITAVET COMERCIAL LTDA",Ativa,2008-02-26,2008,NULL,"Entidades Empresariais",2008-02-26,2008,"Comércio atacadista de alimentos para animais","Sócio-Administrador ","Pequeno Porte","Nao Optante"
